stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
2465,P-0402,Fray Luis de Leon/Manuel Gomez Morin,20.560563605901,-100.36310220623,0
3651,P-2103,Av. Fray Luis de León/Centro Civico Municipio de Querétaro,20.558186235016,-100.36150123236,0
2445,P-0401,Fray Luis de León/Manuel Gómez Morín,20.56117,-100.363047,0
2466,P-0413,Fray Luis de Leon/Plaza Centro Sur,20.568196655559,-100.36692240669,0
3677,P-1774,Cerro Blanco/Cerro de la Silla,20.57378204,-100.3699609,0
2404,P-0432,Avenida Colinas del Cimatario/Cerro Blanco,20.57313343416,-100.37223217717,0
2405,P-0430,Av. Magisterio (Cimatario)/Julio Ma. Cervantes,20.575016302348,-100.37290547791,0
2967,P-1497,Av Luis Vega Monrroy/Pl. San José,20.57741696,-100.3755454,0
2968,P-1498,Av. Luis Vega Monrroy/Pl. del Calvario,20.57711624,-100.3771523,0
2969,P-1499,Av. Luis Vega Monrroy/Paseo de Los Cisnes,20.57658249,-100.3798639,0
2970,P-1501,Av. Luis Vega Monrroy/Prol. Luis Pasteur,20.57610435,-100.3823596,0
2036,P-0463,Avenida Luis Vega Monrroy/Av. Luis Pasteur Sur,20.575713730472,-100.3831101327,0
2400,P-0465,Pasteur Sur/Luis Vega y Monroy,20.575440192711,-100.38287631475,0
2234,P-0468,Luis Pasteur Sur/Av. 24,20.567890712921,-100.38312848041,0
2235,P-0471,Luis Pasteur Sur/Av Presidentes,20.566214254513,-100.38320391968,0
2236,P-0472,Prol. Luis Pasteur/Emilio Portes Gil,20.564508995623,-100.38326140518,0
2237,P-0473,Luis Pasteur Sur/Adolfo de la Huerta,20.562908316913,-100.3833150005,0
2238,P-0475,Luis Pasteur Sur/Moctezuma Ilhuicamina,20.560920478146,-100.38337979412,0
2239,P-0476,Prol. Luis Pasteur/Cuauhtémoc,20.559871419085,-100.38341157907,0
2240,P-0477,Luis Pasteur Sur/Tenoch,20.558180481018,-100.38346259651,0
2241,P-0481,Prol. Pasteur Sur/Blvd. Valle del Cimatario,20.556768367192,-100.38348187706,0
3687,P-2116,José Antonio García Jimeno/Albergue del Dif,20.573922427951,-100.41838805242,0
3688,P-2117,José Antonio García Jimeno/Blvd. Real de Catorce,20.572865830933,-100.42140942295,0
3692,P-2125,Prol. Bernardo Quintana/Calle Cenit,20.6163472,-100.4460194,0
2933,P-1404,Prol. Bernardo Quintana/Anochecer,20.61664685,-100.4483221,0
2934,P-1405,Prol. Bernardo Quintana/Limas,20.61707745,-100.4506523,0
2935,P-1406,Prol. Bernardo Quintana/Plaza Milenio,20.61871726,-100.4542286,0
3405,P-1813,Guayaquiri/Peña Liza,20.64343018,-100.4598694,0
3406,P-1814,Guayaquiri/De Guadalupe,20.64211431,-100.457695,0
3407,P-1815,Guayaquiri/Aconcagua,20.64158834,-100.4557852,0
3408,P-1816,Guayaquiri/Av. de Las Fuentes,20.64069704,-100.4536351,0
3652,P-2104,Av. de Las Fuentes/Calle Volcán,20.639337430853,-100.45278493857,0
2183,P-0731,Turmalina,20.651580275968,-100.39491345874,0
2184,P-0730,Tlatelolco,20.652124715212,-100.39829927951,0
1830,P-0726,la Raza,20.652783885524,-100.40243122708,0
2185,P-0615,Monte Sacro,20.64918797,-100.408979,0
2186,P-0725,Av. Belén/Puente de San Miguel,20.648871182892,-100.41261346971,0
2187,P-0620,Cobaq,20.64843695,-100.415749,0
2071,P-0729,Praxedis,20.645719014228,-100.41621223462,0
3693,P-2124,Carr. 500/Calle El Pueblito,20.813564311296,-100.43968688123,0
2770,P-1128,Carr. 500/Gasolinera Alfer,20.813541171541,-100.44506073665,0
