route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
440,1,022,Pedregoso - Centro,3,a9745b,000000
441,1,023,Lomas Del Pedregal - Centro,3,a9745b,000000
442,1,024C,Las Torres - Central De Autobuses,3,a9745b,000000
443,1,025,Las Aguilas - Centro,3,a9745b,000000
444,1,030,Infonavit La Paz - Central De Autobuses,3,a9745b,000000
445,1,032,Vistha - Central De Autobuses,3,a9745b,000000
446,1,039,Francisco Villa - Central De Autobuses,3,a9745b,000000
447,1,042,Manantiales / Nogales - Centro,3,a9745b,000000
448,1,046,Manantiales - Nogales - Imss,3,a9745b,000000
449,1,047,La Rueda - Central De Autobuses,3,a9745b,000000
450,1,M233,San Isidro El Alto - Mompani,3,6699cc,000000
451,1,L153,El Calichar - Terminal Balvanera,3,f2ac32,000000
452,1,L163,El Granjeno - Apapataro,3,f2ac32,000000
453,1,L166,Huimilpan - Carranza,3,f2ac32,000000
454,1,L167,Huimilpan - Entronque El Vegil,3,f2ac32,000000
455,1,L168,San Antonio La Galera - Lagunillas,3,f2ac32,000000
456,1,L169,Huitron - Entronque El Vegil,3,f2ac32,000000
459,1,RA01,Plaza Del Parque - Ezequiel Montes (ruta De Apoyo Sin Costo),3,00ffff,000000
